CODIGO_ACCIDENTE,FECHA,GRAVEDAD,CLASE,CHOQUE,DIRECCION,CODIGO_LOCALIDAD
4401438,01/01/2015,2,2,,KR 64A-CL 2C 02,16
4401977,11/01/2015,3,1,1.0,AV AVENIDA CENTENARIO-KR 96G 02,9
4402085,14/01/2015,2,2,,AV AVENIDA CIUDAD DE CALI-CL 38 S 02,8
4402264,16/01/2015,2,1,1.0,KR 4-CL 91 02,2
4402388,18/01/2015,2,1,4.0,TR 50-CL 69D S 04,19
4402502,19/01/2015,3,1,1.0,CL 45-KR 16 02,13
4402632,20/01/2015,2,1,1.0,AC 90-KR 90 03,10
4402803,22/01/2015,3,1,1.0,KR 45-CL 17 02,1
4402808,22/01/2015,2,1,1.0,KR 60-CL 2 02,16
4402811,22/01/2015,2,2,,TR 88-CL 19A 02,9
4403020,24/01/2015,3,1,1.0,CL 78-KR 76 14,10
4403112,25/01/2015,3,1,1.0,AC 100-KR 64 02,12
4403314,27/01/2015,2,2,,DG 80C-KR 17A 02,19
4403448,29/01/2015,3,1,1.0,AV AVENIDA BOYACA-CL 12F S 02,8
4403426,29/01/2015,2,2,,CL 3-KR 26 46,14
4403477,30/01/2015,2,1,1.0,AC 26-KR 29 02,13
4403607,30/01/2015,3,1,1.0,AC 63-KR 85F 02,10
4403916,02/02/2015,3,1,1.0,AK 68-CL 17A 02,16
4410229,06/02/2015,3,1,4.0,CL 92-KR 12 02,2
4404311,07/02/2015,3,1,4.0,CL 53-KR 27A 02,13
4404602,12/02/2015,2,1,1.0,CL 3-KR 39B 02,16
4404655,12/02/2015,2,1,1.0,CL 57-KR 87I 02,7
4404758,12/02/2015,3,1,1.0,CL 37-KR 78G S 02,8
4404763,13/02/2015,3,1,1.0,KR 77J-CL 69B S 02,7
4405057,14/02/2015,3,1,1.0,AC 80-KR 114 02,10
4405066,18/02/2015,2,2,,KR 7-CL 55 37,2
4405530,19/02/2015,3,1,1.0,KR 7-CL 47 02,2
4405601,20/02/2015,3,1,1.0,KR 13-CL 62 02,2
4405607,20/02/2015,3,1,1.0,AK 45-CL 80 60,2
4405616,20/02/2015,3,1,1.0,KR 71B-CL 57B S 02,7
4405620,20/02/2015,3,1,1.0,KR 7-CL 7 ES 02,4
4405773,21/02/2015,3,1,1.0,AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 19 02,19
4405798,22/02/2015,3,1,1.0,DG 44-KR 68B 30,10
4406128,24/02/2015,3,1,1.0,KR 7-CL 60 02,2
4406210,25/02/2015,3,1,1.0,KR 51A-CL 127A 02,11
4406407,28/02/2015,3,1,1.0,CL 137-KR 118 02,11
4406321,03/03/2015,2,2,,KR 34-CL 12 40,16
4406596,05/03/2015,2,2,,AV AVENIDA SUBA-CL 103C 02,11
4407144,09/03/2015,3,1,1.0,CL 24-KR 24F S 02,18
4407142,09/03/2015,3,1,1.0,CL 24-KR 69 02,9
4407172,10/03/2015,3,1,1.0,KR 9-CL 93A 02,2
4407259,10/03/2015,3,1,1.0,CL 134A-KR 9 02,1
